experiment_id,artifact,output_label,passed_tests,total_tests,raw_score,max_raw_score,normalized_score_100,duration_seconds,input_chars,output_chars,estimated_visible_tokens,loop_rounds,reviewer_count,loop_status,scoring_mode,notes
03-receipt-splitter,receipt_splitter_reliability,baseline,5,11,25,55,45.5,26,463,1071,384,0,0,baseline,"deterministic tests plus demonstration-only non-blind scoring","Plausible first draft passed simple ownership/tax cases but failed discount order, cent reconciliation, and invalid input handling"
03-receipt-splitter,receipt_splitter_reliability,loop_final,11,11,55,55,100.0,318,16200,12400,7150,1,3,full_pass,"deterministic tests plus demonstration-only non-blind scoring","Final passed all T01-T11 deterministic tests and final reviewers all PASS 120"
